customer_ID,first_name,last_name,email,question_1,question_2,question_3,question_4,question_5,asdfasedf\,similarity,,,
1000001,Abigail,Lewis,abigail.lewis1000001@example.com,"Walking, Jogging, Pilates",2–3 days,Lunch,Medium,"Weight Loss, Improve Health, Training","Walking, Jogging, Pilates",2–3 days,Lunch,Medium,"Weight Loss, Improve Health, Training"
1000002,Mason,Brown,mason.brown1000002@example.com,"Jogging, Walking, Running",0–1 days,Mid-Morning,High,"Social, Reduce Stress, Build Strength",,,,,
1000003,David,Jones,david.jones1000003@example.com,"Hiking, Cycling, Walking",2–3 days,Lunch,Medium,"Social, Weight Loss, Build Strength",,,,,
1000004,Liam,Martin,liam.martin1000004@example.com,"Running, Group Fitness Class, Hiking",4–5 days,Lunch,Low,"Improve Health, Training, Social",,,,,
1000005,Samuel,Perez,samuel.perez1000005@example.com,"Running, Swimming, Jogging",4–5 days,Lunch,High,"Training, Build Strength, Social",,,,,
1000006,David,White,david.white1000006@example.com,"Yoga, Weight Training, Swimming",4–5 days,Mid-Morning,Low,"Training, Improve Health, Weight Loss",,,,,
1000007,Carter,Hernandez,carter.hernandez1000007@example.com,"Team Sports, Jogging, Swimming",4–5 days,Lunch,High,"Improve Health, Training, Social",,,,,
1000008,Emma,Miller,emma.miller1000008@example.com,"Walking, Weight Training, Hiking",0–1 days,Lunch,Low,"Training, Improve Health, Social",,,,,
1000009,Harper,Lopez,harper.lopez1000009@example.com,"Yoga, Weight Training, Group Fitness Class",0–1 days,Early Morning,Medium,"Improve Health, Training, Build Strength",,,,,
1000010,Aiden,Martin,aiden.martin1000010@example.com,"Team Sports, Yoga, Hiking",2–3 days,Lunch,Low,"Build Strength, Improve Health, Reduce Stress",,,,,
1000011,Aiden,Harris,aiden.harris1000011@example.com,"Running, Pilates, Hiking",2–3 days,Mid-Morning,High,"Build Strength, Social, Training",,,,,
1000012,Olivia,Garcia,olivia.garcia1000012@example.com,"Running, Group Fitness Class, Yoga",2–3 days,Lunch,High,"Social, Build Strength, Reduce Stress",,,,,
1000013,Benjamin,Flores,benjamin.flores1000013@example.com,"Hiking, Swimming, Group Fitness Class",2–3 days,Mid-Morning,Low,"Social, Weight Loss, Build Strength",,,,,
1000014,Ella,Jackson,ella.jackson1000014@example.com,"Team Sports, Swimming, Weight Training",2–3 days,Mid-Morning,Medium,"Training, Social, Weight Loss",,,,,
1000015,Matthew,Jones,matthew.jones1000015@example.com,"Walking, Hiking, Yoga",0–1 days,Mid-Morning,Medium,"Reduce Stress, Training, Build Strength",,,,,
1000016,Amelia,Harris,amelia.harris1000016@example.com,"Hiking, Running, Cycling",4–5 days,Early Morning,Low,"Social, Reduce Stress, Build Strength",,,,,
1000017,Abigail,Hall,abigail.hall1000017@example.com,"Pilates, Team Sports, Group Fitness Class",2–3 days,Early Morning,Medium,"Reduce Stress, Training, Build Strength",,,,,
1000018,Ethan,Martin,ethan.martin1000018@example.com,"Team Sports, Swimming, Walking",0–1 days,Lunch,High,"Training, Weight Loss, Social",,,,,
1000019,Joseph,Wilson,joseph.wilson1000019@example.com,"Running, Team Sports, Yoga",2–3 days,Lunch,Low,"Training, Build Strength, Reduce Stress",,,,,
1000020,Joseph,Rodriguez,joseph.rodriguez1000020@example.com,"Group Fitness Class, Pilates, Team Sports",4–5 days,Lunch,Medium,"Reduce Stress, Improve Health, Training",,,,,
1000021,Ava,Flores,ava.flores1000021@example.com,"Jogging, Group Fitness Class, Pilates",4–5 days,Mid-Morning,Medium,"Build Strength, Social, Improve Health",,,,,
1000022,Emma,Flores,emma.flores1000022@example.com,"Pilates, Weight Training, Hiking",0–1 days,Early Morning,Medium,"Reduce Stress, Training, Improve Health",,,,,
1000023,Layla,Adams,layla.adams1000023@example.com,"Weight Training, Group Fitness Class, Walking",4–5 days,Mid-Morning,Medium,"Build Strength, Improve Health, Reduce Stress",,,,,
1000024,Samuel,Hernandez,samuel.hernandez1000024@example.com,"Cycling, Hiking, Running",0–1 days,Mid-Morning,Medium,"Training, Weight Loss, Improve Health",,,,,
1000025,Victoria,Campbell,victoria.campbell1000025@example.com,"Weight Training, Cycling, Walking",0–1 days,Mid-Morning,Medium,"Weight Loss, Improve Health, Social",,,,,
1000026,Victoria,Torres,victoria.torres1000026@example.com,"Cycling, Yoga, Weight Training",4–5 days,Mid-Morning,High,"Training, Weight Loss, Improve Health",,,,,
1000027,Mason,Carter,mason.carter1000027@example.com,"Weight Training, Walking, Jogging",2–3 days,Mid-Morning,Low,"Reduce Stress, Improve Health, Build Strength",,,,,
1000028,Scarlett,Torres,scarlett.torres1000028@example.com,"Cycling, Swimming, Hiking",4–5 days,Lunch,Low,"Social, Reduce Stress, Weight Loss",,,,,
1000029,Charlotte,Thompson,charlotte.thompson1000029@example.com,"Walking, Yoga, Team Sports",2–3 days,Mid-Morning,Low,"Reduce Stress, Social, Improve Health",,,,,
1000030,Noah,Garcia,noah.garcia1000030@example.com,"Walking, Yoga, Running",0–1 days,Lunch,Low,"Social, Training, Weight Loss",,,,,
1000031,Charlotte,Lopez,charlotte.lopez1000031@example.com,"Yoga, Hiking, Swimming",2–3 days,Mid-Morning,High,"Weight Loss, Improve Health, Build Strength",,,,,
1000032,Wyatt,Thomas,wyatt.thomas1000032@example.com,"Running, Jogging, Group Fitness Class",0–1 days,Mid-Morning,Medium,"Improve Health, Training, Weight Loss",,,,,
1000033,Victoria,Jackson,victoria.jackson1000033@example.com,"Yoga, Running, Swimming",2–3 days,Lunch,High,"Weight Loss, Training, Reduce Stress",,,,,
1000034,Lucas,Thomas,lucas.thomas1000034@example.com,"Swimming, Hiking, Group Fitness Class",0–1 days,Early Morning,High,"Build Strength, Improve Health, Training",,,,,
1000035,Ethan,Mitchell,ethan.mitchell1000035@example.com,"Swimming, Team Sports, Group Fitness Class",4–5 days,Mid-Morning,Medium,"Reduce Stress, Build Strength, Improve Health",,,,,
1000036,Logan,Jones,logan.jones1000036@example.com,"Walking, Team Sports, Hiking",2–3 days,Mid-Morning,Medium,"Reduce Stress, Improve Health, Weight Loss",,,,,
1000037,Mason,Johnson,mason.johnson1000037@example.com,"Running, Hiking, Swimming",0–1 days,Early Morning,Medium,"Improve Health, Training, Social",,,,,
1000038,Joseph,Moore,joseph.moore1000038@example.com,"Swimming, Running, Cycling",2–3 days,Lunch,High,"Improve Health, Weight Loss, Reduce Stress",,,,,
1000039,Scarlett,Lee,scarlett.lee1000039@example.com,"Weight Training, Pilates, Group Fitness Class",4–5 days,Mid-Morning,Medium,"Build Strength, Improve Health, Reduce Stress",,,,,
1000040,Lucas,Nelson,lucas.nelson1000040@example.com,"Group Fitness Class, Cycling, Walking",0–1 days,Lunch,Medium,"Social, Weight Loss, Improve Health",,,,,
1000041,Oliver,Allen,oliver.allen1000041@example.com,"Swimming, Pilates, Group Fitness Class",4–5 days,Lunch,Medium,"Training, Improve Health, Weight Loss",,,,,
1000042,Emily,Scott,emily.scott1000042@example.com,"Weight Training, Jogging, Walking",2–3 days,Mid-Morning,Medium,"Reduce Stress, Social, Build Strength",,,,,
1000043,Harper,Anderson,harper.anderson1000043@example.com,"Jogging, Hiking, Walking",2–3 days,Early Morning,Medium,"Weight Loss, Build Strength, Social",,,,,
1000044,Penelope,Flores,penelope.flores1000044@example.com,"Walking, Group Fitness Class, Pilates",2–3 days,Mid-Morning,High,"Social, Reduce Stress, Weight Loss",,,,,
1000045,Emma,Perez,emma.perez1000045@example.com,"Team Sports, Weight Training, Group Fitness Class",4–5 days,Mid-Morning,Medium,"Build Strength, Training, Weight Loss",,,,,
1000046,Jacob,Hill,jacob.hill1000046@example.com,"Weight Training, Yoga, Team Sports",4–5 days,Mid-Morning,High,"Build Strength, Weight Loss, Reduce Stress",,,,,
1000047,Aria,Mitchell,aria.mitchell1000047@example.com,"Yoga, Swimming, Jogging",0–1 days,Early Morning,Low,"Weight Loss, Reduce Stress, Improve Health",,,,,
1000048,Sofia,Smith,sofia.smith1000048@example.com,"Group Fitness Class, Jogging, Weight Training",2–3 days,Mid-Morning,Medium,"Weight Loss, Training, Reduce Stress",,,,,
1000049,Aria,Wright,aria.wright1000049@example.com,"Weight Training, Yoga, Jogging",0–1 days,Mid-Morning,Low,"Training, Weight Loss, Reduce Stress",,,,,
1000050,Avery,Walker,avery.walker1000050@example.com,"Team Sports, Walking, Running",4–5 days,Lunch,Low,"Reduce Stress, Training, Weight Loss",,,,,
1000051,Matthew,Lewis,matthew.lewis1000051@example.com,"Swimming, Cycling, Jogging",4–5 days,Mid-Morning,Medium,"Social, Improve Health, Reduce Stress",,,,,
1000052,Penelope,Jackson,penelope.jackson1000052@example.com,"Pilates, Group Fitness Class, Hiking",0–1 days,Mid-Morning,High,"Training, Social, Build Strength",,,,,
1000053,Mason,Adams,mason.adams1000053@example.com,"Pilates, Team Sports, Swimming",0–1 days,Mid-Morning,Low,"Improve Health, Weight Loss, Reduce Stress",,,,,
1000054,Camila,Perez,camila.perez1000054@example.com,"Yoga, Swimming, Weight Training",4–5 days,Mid-Morning,Medium,"Weight Loss, Training, Build Strength",,,,,
1000055,Emma,Davis,emma.davis1000055@example.com,"Cycling, Group Fitness Class, Walking",2–3 days,Mid-Morning,Low,"Build Strength, Social, Reduce Stress",,,,,
1000056,Liam,Hill,liam.hill1000056@example.com,"Group Fitness Class, Yoga, Walking",4–5 days,Early Morning,Medium,"Reduce Stress, Social, Training",,,,,
